row,code,subject_area,
71,10.10.100.50.20,Ham,
72,10.10.100.50.30,Pork,
73,10.10.100.60,Pearls,
74,10.10.100.70,Silk,
75,10.10.100.80,Wool,
76,10.10.110,Aquaculture,
77,10.10.110.10,Algaculture,
78,10.10.110.20,Fish farming,
79,10.10.110.20.10,Fisheries,
80,10.10.110.30,Mariculture,
81,10.10.110.40,Oyster farming,
82,10.10.110.50,Sea urchin aquaculture,
83,10.10.110.60,Shrimp farming,
84,10.10.120,Crop science,
85,10.10.120.10,Crop diseases,
86,10.10.120.20,Crop management,
87,10.10.120.30,Crops,
88,10.10.120.30.10,Cereal crops,
89,10.10.120.30.10.10,Barley,
90,10.10.120.30.10.20,Buckwheat,
91,10.10.120.30.10.30,Fonio,
92,10.10.120.30.10.40,Maize,
93,10.10.120.30.10.50,Millet,
94,10.10.120.30.10.60,Oat,
95,10.10.120.30.10.70,Quinoa,
96,10.10.120.30.10.80,Rice,
97,10.10.120.30.10.90,Rye,
98,10.10.120.30.10.100,Triticale,
99,10.10.120.30.10.110,Wheat,
100,10.10.120.30.10.110.10,Common wheat,
101,10.10.120.30.10.110.20,Spelt,
102,10.10.120.30.20,Fiber crops,
104,10.10.120.30.20.20,Flax,
105,10.10.120.30.20.30,Hemp,
106,10.10.120.30.30,Fruits,
107,10.10.120.30.30.10,Apples,
108,10.10.120.30.30.20,Bananas,
109,10.10.120.30.30.30,Berries,
110,10.10.120.30.30.40,Blueberries,
111,10.10.120.30.30.50,Cherries,
112,10.10.120.30.30.60,Citrus,
113,10.10.120.30.30.70,Figs,
114,10.10.120.30.30.80,Grapes,
115,10.10.120.30.30.90,Lemons,
116,10.10.120.30.30.100,Melons,
117,10.10.120.30.30.110,Olives,
118,10.10.120.30.30.120,Oranges,
119,10.10.120.30.30.130,Papayas,
120,10.10.120.30.30.140,Peaches,
121,10.10.120.30.30.150,Pears,
122,10.10.120.30.30.160,Plums,
123,10.10.120.30.30.170,Tomatoes,
124,10.10.120.30.40,Soybean,
125,10.10.120.30.50,Tobacco,
126,10.10.120.30.60,Vegetables,
127,10.10.120.30.60.10,Broccoli,
128,10.10.120.30.60.20,Carrots,
129,10.10.120.30.60.30,Cauliflower,
130,10.10.120.30.60.40,Cucumber,
131,10.10.120.30.60.50,Lettuce,
132,10.10.120.30.60.60,Onions,
133,10.10.120.30.60.70,Potato,
134,10.10.120.30.60.80,Radish,
135,10.10.120.30.60.90,Spinach,
136,10.10.120.30.60.100,Sweet potato,
143,10.10.130,Farms,
144,10.10.130.10,Orchards,
145,10.10.140,Forestry,
147,10.10.150,Fungiculture,
148,10.10.160,Livestock,
149,10.10.160.10,Cattle,
150,10.10.160.10.10,Zebus,
151,10.10.160.20,Poultry,
152,10.10.160.20.10,Chickens,
153,10.10.160.20.20,Turkeys,
154,10.10.160.30,Sheep,
155,10.10.160.40,Swine,
156,10.10.170,Pest control,
157,10.10.170.10,Integrated control,
160,10.10.180,Pests,
161,10.10.180.10,Insect pests,
162,10.10.180.10.10,Locusts,
163,10.10.180.10.20,Medfly,
164,10.10.180.10.30,Olive fruit fly,
165,10.10.180.10.40,Weevils,
166,10.20,Anatomy,
167,10.20.10,Abdomen,
168,10.20.10.10,Peritoneum,
169,10.20.10.10.10,Mesentery,
170,10.20.20,Biological tissue,
171,10.20.20.10,Adipose tissue,
172,10.20.20.10.10,Brown adipose tissue,
173,10.20.20.20,Connective tissue,
174,10.20.20.20.10,Bone,
175,10.20.20.20.10.10,Bone density,
176,10.20.20.20.10.20,Bone matrix,
177,10.20.20.20.10.30,Diaphyses,
178,10.20.20.20.10.40,Epiphyses,
179,10.20.20.20.10.50,Growth plate,
180,10.20.20.20.10.60,Osteoclasts,
181,10.20.20.20.10.70,Periosteum,
182,10.20.20.20.20,Cartilage,
183,10.20.20.20.20.10,Articular cartilage,
184,10.20.20.20.20.20,Chondrocytes,
185,10.20.20.20.20.30,Elastic cartilage,
186,10.20.20.20.20.40,Fibrocartilage,
187,10.20.20.20.20.50,Vertebrate cartilage,
188,10.20.20.20.30,Connective tissue cells,
189,10.20.20.20.30.10,Adipocytes,
191,10.20.20.20.30.30,Fibroblasts,
192,10.20.20.20.30.40,Mast cells,
193,10.20.20.20.30.50,Odontoblasts,
194,10.20.20.20.30.60,Odontoclasts,
195,10.20.20.20.30.70,Osteoblasts,
196,10.20.20.20.30.70.10,Osteocytes,
198,10.20.20.20.30.90,Stromal cells,
199,10.20.20.20.30.100,Theca cells,
200,10.20.20.20.40,Granulation tissue,
201,10.20.20.20.50,Ligaments,
202,10.20.20.20.50.10,Periodontal ligament,
203,10.20.20.20.60,Perichondrium,
204,10.20.20.20.70,Tendons,
205,10.20.20.30,Epithelium,
206,10.20.20.30.10,Epithelial cells,
207,10.20.20.30.10.10,Ameloblasts,
208,10.20.20.30.10.20,Chief cells,
209,10.20.20.30.10.30,Chromatophores,
210,10.20.20.30.10.30.10,Melanocytes,
211,10.20.20.30.10.30.20,Melanophores,
212,10.20.20.30.10.40,Endothelial cells,
213,10.20.20.30.10.50,Enterochromaffin cells,
214,10.20.20.30.10.50.10,Argentaffin cells,
215,10.20.20.30.10.50.20,G cells,
216,10.20.20.30.10.60,Granulosa cells,
217,10.20.20.30.10.70,Keratinocytes,
218,10.20.20.30.10.70.10,Basal cells,
219,10.20.20.30.10.70.20,Prickle cells,
220,10.20.20.30.10.80,Labyrinth supporting cells,
221,10.20.20.30.10.80.10,Claudius cells,
222,10.20.20.30.10.80.20,Deiter's cells,
223,10.20.20.30.10.80.30,Hensen cells,
224,10.20.20.30.10.90,Merkel cells,
225,10.20.20.30.10.100,Paneth cells,
226,10.20.20.30.10.110,Parietal cells,
227,10.20.20.30.10.120,Photocytes,
228,10.20.20.30.10.130,Sertoli cells,
229,10.20.20.30.20,Mucous membranes,
230,10.20.20.40,Ganglia,
231,10.20.20.50,Muscle tissue,
232,10.20.20.50.10,Muscle cells,
233,10.20.20.50.10.10,Myofibrils,
234,10.20.20.50.10.10.10,Sarcomeres,
235,10.20.20.50.10.20,Sarcolemmas,
236,10.20.20.50.10.30,Smooth muscle cells,
237,10.20.20.60,Necrotic tissue,
238,10.20.20.70,Nerve tissue,
239,10.20.20.80,Skin tissue,
240,10.20.20.90,Soft tissues,
241,10.20.20.100,Subcutaneous tissue,
242,10.20.30,Body fluids,
243,10.20.30.10,Amniotic fluid,
244,10.20.30.20,Bile,
245,10.20.30.20.10,Bilirubin,
246,10.20.30.30,Blood,
247,10.20.30.30.10,Alkali denaturation technique,
248,10.20.30.30.20,Blood counts,
249,10.20.30.30.20.10,Hematocrit,
250,10.20.30.30.30,Blood flow,
251,10.20.30.30.40,Blood groups,
252,10.20.30.30.50,Blood plasma,
253,10.20.30.30.60,Blood serum,
254,10.20.30.30.60.10,Immune serum,
255,10.20.30.30.60.20,Serum triglycerides,
256,10.20.30.30.70,Blood sugar,
257,10.20.30.30.80,Blood volume,
258,10.20.30.30.90,Plasma volume,
259,10.20.30.30.100,Platelets,
260,10.20.30.40,Cerebrospinal fluid,
261,10.20.30.50,Fluid physiology,
262,10.20.30.60,Follicular fluid,
263,10.20.30.70,Gastric mucosa,
264,10.20.30.80,Interstitial fluid,
265,10.20.30.90,Lymph,
266,10.20.30.100,Milk,
267,10.20.30.100.10,Breast milk,
268,10.20.30.110,Mucus,
269,10.20.30.110.10,Sputum,
270,10.20.30.120,Nasal mucosa,
271,10.20.30.130,Saliva,
272,10.20.30.140,Semen,
273,10.20.30.150,Sweat,
274,10.20.30.160,Synovial fluid,
275,10.20.30.170,Urine,
284,10.20.50,Brain,
285,10.20.50.10,Amygdala,
286,10.20.50.20,Auditory cortex,
287,10.20.50.30,Basal ganglia,
288,10.20.50.30.10,Caudate nucleus,
289,10.20.50.40,Brainstem,
290,10.20.50.40.10,Medulla oblongata,
291,10.20.50.40.20,Midbrain,
292,10.20.50.50,Cerebellar cortex,
293,10.20.50.60,Cerebral cortex,
294,10.20.50.60.10,Cerebellar nuclei,
295,10.20.50.60.20,Cerebellum,
296,10.20.50.60.30,Entorhinal cortex,
297,10.20.50.60.40,Frontal lobe,
298,10.20.50.60.50,Occipital lobe,
299,10.20.50.60.60,Parietal lobe,
300,10.20.50.60.70,Temporal lobe,
301,10.20.50.70,Cerebral hemispheres,
302,10.20.50.70.10,Left hemisphere,
303,10.20.50.70.20,Right hemisphere,
304,10.20.50.80,Cerebrum,
305,10.20.50.90,Choroid plexus,
306,10.20.50.100,Cingulate cortex,
307,10.20.50.110,Corpus callosum,
308,10.20.50.120,Diencephalon,
309,10.20.50.130,Fourth ventricle,
310,10.20.50.140,Globus pallidus,
311,10.20.50.150,Hindbrain,
312,10.20.50.160,Hippocampal formation,
313,10.20.50.160.10,Dentate gyrus,
314,10.20.50.170,Hippocampus,
315,10.20.50.180,Hypothalamus,
316,10.20.50.180.10,Arcuate nucleus,
317,10.20.50.190,Inferior colliculus,
318,10.20.50.200,Limbic system,
319,10.20.50.210,Locus coeruleus,
320,10.20.50.220,Motor cortex,
321,10.20.50.230,Neocortex,
322,10.20.50.240,Neostriatum,
323,10.20.50.250,Nucleus accumbens,
324,10.20.50.260,Olfactory bulb,
325,10.20.50.270,Piriform cortex,
326,10.20.50.280,Prefrontal cortex,
327,10.20.50.290,Preoptic area,
328,10.20.50.300,Red nucleus,
329,10.20.50.310,Somatosensory cortex,
330,10.20.50.320,Substantia nigra,
331,10.20.50.330,Superior colliculus,
332,10.20.50.340,Suprachiasmatic nucleus,
333,10.20.50.350,Thalamus,
334,10.20.50.350.10,Thalamic nuclei,
335,10.20.50.360,Ventral tegmental area,
336,10.20.50.370,Visual cortex,
337,10.20.60,Cardiovascular anatomy,
338,10.20.60.10,Blood vessels,
339,10.20.60.10.10,Aorta,
340,10.20.60.10.20,Aortic bifurcation,
341,10.20.60.10.30,Arteries,
342,10.20.60.10.30.10,Arterial bifurcations,
343,10.20.60.10.30.20,Carotid arteries,
344,10.20.60.10.30.30,Carotid body,
345,10.20.60.10.30.40,Cerebral arteries,
346,10.20.60.10.30.50,Common carotid arteries,
347,10.20.60.10.30.60,Coronary arteries,
348,10.20.60.10.30.70,Femoral arteries,
349,10.20.60.10.30.80,Mesenteric arteries,
350,10.20.60.10.30.90,Pulmonary arteries,
351,10.20.60.10.30.100,Renal arteries,
352,10.20.60.10.40,Arterioles,
353,10.20.60.10.50,Capillaries,
354,10.20.60.10.60,Retinal vessels,
355,10.20.60.10.70,Veins,
356,10.20.60.10.70.10,Inferior vena cava,
357,10.20.60.10.70.20,Jugular vein,
358,10.20.60.10.70.30,Portal veins,
359,10.20.60.10.70.40,Umbilical veins,
360,10.20.60.10.80,Venules,
361,10.20.60.20,Endothelium,
362,10.20.60.30,Heart,
363,10.20.60.30.10,Aortic valve,
364,10.20.60.30.20,Endocardium,
365,10.20.60.30.30,Epicardium,
366,10.20.60.30.40,Myocardium,
367,10.20.60.30.50,Pericardium,
368,10.20.60.30.60,Ventricles (heart),
369,10.20.70,Comparative anatomy,
370,10.20.80,Digestive system,
371,10.20.80.10,Gastrointestinal tract,
372,10.20.80.10.10,Anus,
373,10.20.80.10.20,Cardia,
374,10.20.80.10.30,Cecum,
375,10.20.80.10.40,Colon,
376,10.20.80.10.50,Duodenum,
377,10.20.80.10.60,Esophagus,
379,10.20.80.10.80,Ileum,
380,10.20.80.10.90,Jejunum,
381,10.20.80.10.100,Large intestine,
382,10.20.80.10.110,Rectum,
383,10.20.80.10.120,Small intestine,
384,10.20.80.10.130,Stomach,
385,10.20.80.20,Mouth,
386,10.20.80.20.10,Lips,
387,10.20.80.20.20,Mandible,
388,10.20.80.20.30,Palate,
389,10.20.80.20.40,Tongue,
390,10.20.80.30,Pharynx,
391,10.20.80.30.10,Nasopharynx,
392,10.20.80.30.20,Oropharynx,
393,10.20.80.40,Salivary glands,
394,10.20.80.40.10,Parotid glands,
395,10.20.80.40.20,Sublingual glands,
396,10.20.80.40.30,Submandibular glands,
397,10.20.80.50,Teeth,
398,10.20.80.50.10,Dental pulp,
399,10.20.80.50.20,Dentin,
400,10.20.80.50.30,Incisors,
401,10.20.80.50.40,Molars,
402,10.20.90,Endocrine system,
403,10.20.90.10,Adrenal cortex,
404,10.20.90.20,Adrenal glands,
405,10.20.90.30,Endocrine cells,
406,10.20.90.40,Endocrine subsystems,
407,10.20.90.50,Pancreas,
408,10.20.90.50.10,Pancreatic ducts,
409,10.20.90.60,Parathyroid,
410,10.20.90.70,Pineal gland,
411,10.20.90.80,Pituitary gland,
412,10.20.90.90,Thyroid,
413,10.20.100,Exocrine glands,
414,10.20.100.10,Mammary glands,
417,10.20.100.30,Prostate gland,
422,10.20.100.50,Sweat glands,
423,10.20.110,Head,
424,10.20.110.10,Ears,
425,10.20.110.10.10,Inner ear,
426,10.20.110.10.10.10,Cochlea,
427,10.20.110.10.10.10.10,Cochlear ducts,
428,10.20.110.10.10.20,Otolith,
429,10.20.110.10.10.30,Saccules,
430,10.20.110.10.20,Middle ear,
431,10.20.110.10.30,Organ of Corti,
432,10.20.110.10.40,Semicircular canals,
433,10.20.110.20,Eyes,
434,10.20.110.20.10,Eye color,
435,10.20.110.30,Face,
436,10.20.110.30.10,Cheeks,
437,10.20.110.30.20,Chin,
438,10.20.110.30.30,Forehead,
440,10.20.110.30.50,Nose,
441,10.20.110.40,Jaw,
447,10.20.110.50,Scalp,
448,10.20.120,Histology,
449,10.20.120.10,Histological examination,
450,10.20.130,Integumentary system,
451,10.20.130.10,Hair,
452,10.20.130.10.10,Hair follicles,
453,10.20.130.20,Nails,
454,10.20.130.30,Skin,
455,10.20.130.30.10,Dermis,
456,10.20.130.30.20,Epidermis,
457,10.20.130.30.30,Eyelids,
459,10.20.130.30.50,Hypodermis,
460,10.20.130.30.60,Sebaceous glands,
461,10.20.130.30.70,Skin anatomy,
462,10.20.130.30.80,Skin physiology,
464,10.20.140,Liver,
465,10.20.140.10,Biliary system,
466,10.20.140.10.10,Bile ducts,
467,10.20.140.10.20,Gallbladder,
468,10.20.140.20,Hepatocytes,
469,10.20.150,Lymphatic system,
470,10.20.150.10,Lymph nodes,
471,10.20.150.20,Lymphoid follicles,
472,10.20.150.30,Lymphoid organs,
473,10.20.150.40,Lymphoid tissue,
474,10.20.150.50,Peyer's patches,
475,10.20.160,Musculoskeletal system,
476,10.20.160.10,Joints (anatomy),
477,10.20.160.10.10,Ankle joints,
478,10.20.160.10.20,Knee joints,
479,10.20.160.10.30,Knuckles,
480,10.20.160.20,Limbs (anatomy),
481,10.20.160.20.10,Arms,
482,10.20.160.20.10.10,Elbow,
483,10.20.160.20.10.20,Forearms,
484,10.20.160.20.10.30,Hands,
485,10.20.160.20.10.30.10,Fingers,
487,10.20.160.20.10.30.30,Thumbs,
488,10.20.160.20.10.40,Wrist,
489,10.20.160.20.20,Legs,
490,10.20.160.20.20.10,Ankles,
491,10.20.160.20.20.20,Feet (anatomy),
492,10.20.160.20.20.20.10,Toes,
493,10.20.160.20.20.30,Knees,
494,10.20.160.30,Muscles,
495,10.20.160.30.10,Abdominal muscles,
496,10.20.160.30.20,Cardiac muscles,
497,10.20.160.30.30,Gastrocnemius muscles,
498,10.20.160.30.40,Muscle components,
499,10.20.160.30.50,Muscle fibers,
500,10.20.160.30.50.10,Cardiac muscle fibers,
501,10.20.160.30.50.20,Skeletal muscle fibers,
502,10.20.160.30.50.20.10,Fast-twitch muscle fibers,
503,10.20.160.30.50.20.20,Slow-twitch muscle fibers,
504,10.20.160.30.60,Papillary muscles,
505,10.20.160.30.70,Pharyngeal muscles,
506,10.20.160.30.80,Skeletal muscles,
507,10.20.160.30.90,Smooth muscles,
508,10.20.160.30.100,Soleus muscles,
509,10.20.160.30.110,Triceps,
510,10.20.160.40,Pelvis,
511,10.20.160.40.10,Hip,
512,10.20.160.40.20,Ilium,
513,10.20.160.40.30,Ischium,
514,10.20.160.40.40,Pubis,
515,10.20.160.50,Shoulders,
516,10.20.160.60,Skeleton,
517,10.20.160.60.10,Femur,
518,10.20.160.60.20,Fibula,
519,10.20.160.60.30,Frontal bones,
520,10.20.160.60.40,Humerus,
521,10.20.160.60.50,Maxilla,
522,10.20.160.60.60,Phalanges,
523,10.20.160.60.70,Ribs,
524,10.20.160.60.80,Skull,
525,10.20.160.60.80.10,Alveolar bone,
526,10.20.160.60.80.20,Cranial sutures,
527,10.20.160.60.80.30,Cranium,
528,10.20.160.60.80.40,Mastoid process,
529,10.20.160.60.90,Sternum,
530,10.20.160.60.100,Tibia,
531,10.20.160.70,Spine,
532,10.20.160.70.10,Cervical vertebrae,
533,10.20.160.70.20,Lumbar vertebrae,
534,10.20.160.70.30,Vertebrae,
535,10.20.160.80,Symphyses,
536,10.20.170,Neck,
537,10.20.170.10,Throat,
538,10.20.170.10.10,Larynx,
539,10.20.170.10.20,Tonsils,
540,10.20.180,Nervous system,
541,10.20.180.10,Autonomic nervous system,
542,10.20.180.20,Central nervous system,
543,10.20.180.20.10,Blood-brain barrier,
544,10.20.180.20.20,Meninges,
546,10.20.180.40,Motor system,
547,10.20.180.50,Nerves,
548,10.20.180.50.10,Auditory nerves,
549,10.20.180.50.20,Cranial nerves,
550,10.20.180.50.20.10,Facial nerve,
551,10.20.180.50.30,Nerve endings,
552,10.20.180.50.40,Sciatic nerves,
553,10.20.180.50.50,Spinal nerves,
555,10.20.180.70,Neuroanatomy,
556,10.20.180.70.10,Connectomics,
557,10.20.180.70.20,Neural pathways,
558,10.20.180.70.30,Neurovasculature,
560,10.20.180.70.50,Spinal cord,
561,10.20.180.80,Peripheral nervous system,
562,10.20.180.90,Sympathetic nervous system,
563,10.20.180.100,Synapses,
564,10.20.180.100.10,Electrical synapses,
565,10.20.180.100.20,Gap junctions,
566,10.20.180.100.30,Neuromuscular junctions,
567,10.20.180.100.40,Post-synaptic membranes,
568,10.20.180.100.50,Pre-synaptic membranes,
569,10.20.180.100.60,Synaptic vesicles,
570,10.20.180.100.70,Synaptosomes,
571,10.20.190,Ocular system,
574,10.20.190.20,Intraocular pressure,
575,10.20.190.30,Ocular anatomy,
576,10.20.190.30.10,Choroid,
577,10.20.190.30.20,Cornea,
578,10.20.190.30.30,Corneal epithelium,
579,10.20.190.30.40,Eye muscles,
580,10.20.190.30.50,Fovea centralis,
581,10.20.190.30.60,Iris,
582,10.20.190.30.70,Lens (anatomy),
583,10.20.190.30.80,Pupil,
584,10.20.190.30.90,Retina,
586,10.20.190.30.110,Trabecular meshwork,
587,10.20.190.40,Optic nerve,
588,10.20.190.50,Optic tract,
589,10.20.200,Olfactory organs,
590,10.20.210,Renal system,
591,10.20.210.10,Bladder,
592,10.20.210.20,Kidneys,
593,10.20.210.20.10,Glomeruli,
594,10.20.210.20.20,Nephrons,
595,10.20.210.30,Renal anatomy,
596,10.20.210.40,Ureter,
597,10.20.210.50,Urothelium,
598,10.20.220,Reproductive system,
599,10.20.220.10,Asexual reproduction,
600,10.20.220.20,Breast tissue,
602,10.20.220.30,Cotyledons (anatomy),
603,10.20.220.40,Fallopian tubes,
604,10.20.220.50,Genital anatomy,
605,10.20.220.50.10,Cervix,
606,10.20.220.50.20,Clitoris,
607,10.20.220.50.30,Epididymis,
608,10.20.220.50.40,Gonads,
609,10.20.220.50.50,Penis,
610,10.20.220.50.60,Seminiferous tubules,
611,10.20.220.50.70,Testes,
612,10.20.220.50.80,Vagina,
613,10.20.220.50.90,Vulva,
614,10.20.220.60,Ovaries,
616,10.20.220.60.20,Ovarian follicles,
617,10.20.220.70,Placenta,
618,10.20.220.70.10,Placentation,
619,10.20.220.80,Seminal vesicles,
620,10.20.220.90,Sporulation,
621,10.20.220.100,Uterus,
622,10.20.220.100.10,Decidua,
623,10.20.220.100.20,Endometrium,
624,10.20.220.100.30,Myometrium,
625,10.20.230,Respiratory system,
626,10.20.230.10,Alveoli,
627,10.20.230.10.10,Pneumocytes,
628,10.20.230.20,Bronchi,
629,10.20.230.30,Bronchioles,
630,10.20.230.40,Gills,
631,10.20.230.50,Lungs,
632,10.20.230.60,Nasal cavity,
633,10.20.230.70,Nasal concha,
635,10.20.230.90,Nasal passages,
639,10.20.230.110,Spiracles,
640,10.20.230.120,Thoracic diaphragm,
641,10.20.230.130,Trachea,
642,10.20.240,Sense organs,
643,10.20.250,Thorax,
644,10.20.250.10,Pleura,
645,10.20.250.20,Pleural cavity,
646,10.30,Astrobiology,
647,10.30.10,Extraterrestrial life,
648,10.40,Bioacoustics,
649,10.50,Biochemistry,
650,10.50.10,Antioxidants,
651,10.50.20,Biocatalysis,
652,10.50.30,Biochemical activity,
653,10.50.40,Biochemical reactivation,
654,10.50.50,Biochemical simulations,
655,10.50.60,Bioelectromagnetism,
656,10.50.70,Bioenergetics,
657,10.50.70.10,Electron transport chain,
658,10.50.70.20,Energy-producing organelles,
659,10.50.70.20.10,Mitochondria,
660,10.50.70.20.10.10,Mitochondrial membrane,
661,10.50.70.30,Ionic current,
662,10.50.80,Bioinorganic chemistry,
663,10.50.90,Biomacromolecule-ligand interactions,
664,10.50.100,Biomarkers,
665,10.50.100.10,Creatinine,
666,10.50.110,Biosynthesis,
667,10.50.110.10,Carbohydrate biosynthesis,
668,10.50.120,Blood chemistry,
669,10.50.130,Chemical biology,
670,10.50.140,Chondroitin,
671,10.50.150,Circadian oscillators,
672,10.50.160,Cytochemistry,
673,10.50.160.10,Histochemistry,
674,10.50.160.20,Immunocytochemistry,
675,10.50.170,DNA,
676,10.50.170.10,Ancient DNA,
677,10.50.170.20,DNA amplification,
678,10.50.170.30,DNA cleavage,
679,10.50.170.40,DNA damage,
680,10.50.170.50,DNA electrophoresis,
681,10.50.170.60,DNA fragmentation,
682,10.50.170.70,DNA libraries,
683,10.50.170.70.10,cDNA libraries,
684,10.50.170.70.20,Fosmid library,
685,10.50.170.80,DNA metabolism,
686,10.50.170.90,DNA modification,
687,10.50.170.90.10,DNA methylation,
688,10.50.170.100,DNA recombination,
689,10.50.170.100.10,Gene conversion,
690,10.50.170.100.20,Homologous recombination,
691,10.50.170.100.30,Illegitimate recombination,
692,10.50.170.100.40,Transformation associated recombination,
693,10.50.170.110,DNA repair,
694,10.50.170.110.10,Base excision repair,
695,10.50.170.110.20,Microhomology-mediated end joining,
696,10.50.170.110.30,Mismatch repair,
697,10.50.170.110.40,Non-homologous end joining,
698,10.50.170.110.50,Nucleotide excision repair,
699,10.50.170.110.50.10,Transcription-coupled repair,
700,10.50.170.120,DNA replication,
701,10.50.320.610.60,Homeobox,
702,10.50.170.170.10,TATA box,
703,10.50.170.130,DNA structure,
704,10.50.170.130.10,DNA clamps,
705,10.50.170.130.10.10,Beta clamps,
706,10.50.170.130.10.20,PCNA clamps,
707,10.50.170.130.20,DNA Sierpinski triangles,
708,10.50.170.130.30,Sense strands,
709,10.50.170.140,DNA synthesis,
710,10.50.170.150,Forms of DNA,
711,10.50.170.150.10,Chromosomal DNA,
712,10.50.170.150.20,Circular DNA,
713,10.50.170.150.30,Complementary DNA,
715,10.50.170.150.30.20,Expressed sequence tags,
716,10.110.60.180,Kinetoplasts,
717,10.50.170.150.40,Mitochondrial DNA,
718,10.50.170.150.50,Plasmids,
719,10.50.170.150.60,Satellite DNA,
720,10.50.170.160,Operons,
721,10.50.170.160.10,lac operon,
722,10.50.170.160.20,rRNA operons,
723,10.50.170.160.30,trp operon,
724,10.50.170.170,Promoter regions,
725,10.50.180,Enzymology,
726,10.50.180.10,Enzyme chemistry,
727,10.50.180.10.10,Cofactors (biochemistry),
728,10.50.180.10.10.10,Coenzymes,
729,10.50.180.10.10.20,Prosthetic groups,
730,10.50.180.10.20,Enzyme metabolism,
731,10.50.180.10.30,Enzyme regulation,
732,10.50.180.10.30.10,Allosteric regulation,
733,10.50.180.20,Enzyme inhibitors,
734,10.50.180.20.10,ACE inhibitors,
735,10.50.180.20.20,Aromatase inhibitors,
736,10.50.180.20.30,Cholinesterase inhibitors,
737,10.50.180.20.40,Competitive inhibitors,
738,10.50.180.20.50,Irreversible inhibitors,
739,10.50.180.20.60,Kinase inhibitors,
740,10.50.180.20.60.10,Tyrosine kinase inhibitors,
741,10.50.180.20.70,Neuraminidase inhibitors,
742,10.50.180.20.80,Noncompetitive inhibitors,
743,10.50.180.20.90,Phosphatase inhibitors,
744,10.50.180.20.100,Protease inhibitors,
745,10.50.180.20.100.10,Calpain inhibitors,
746,10.50.180.20.100.20,Caspase inhibitors,
747,10.50.180.20.100.30,Cysteine protease inhibitors,
748,10.50.180.20.100.40,Serine protease inhibitors,
749,10.50.180.20.100.50,Trypsin inhibitors,
750,10.50.180.20.110,Proteinase inhibitors,
751,10.50.180.20.120,Reversible inhibitors,
752,10.50.180.20.130,RNase inhibitors,
753,10.50.180.20.140,Uncompetitive inhibitors,
754,10.50.180.30,Enzyme kinetics,
755,10.50.180.40,Enzyme precursors,
756,10.50.180.40.10,Zymogens,
757,10.50.180.50,Enzymes,
758,10.50.180.50.10,Carbonic anhydrases,
759,10.50.180.50.20,Catalases,
760,10.50.180.50.30,Cellulases,
761,10.50.180.50.40,Chymotrypsin,
762,10.50.180.50.50,Digestive enzymes,
763,10.50.180.50.60,Dismutases,
764,10.50.180.50.60.10,Superoxide dismutase,
765,10.50.180.50.70,Hexokinases,
766,10.50.180.50.80,Hydrolases,
767,10.50.180.50.80.10,Collagenases,
768,10.50.180.50.80.20,Esterases,
769,10.50.180.50.80.30,Glucanases,
