code,subject_area
10.10.120.30.10.70,Quinoa
10.10.120.30.10.80,Rice
10.10.120.30.10.90,Rye
10.10.120.30.10.100,Triticale
10.10.120.30.10.110,Wheat
10.10.120.30.10.110.10,Common wheat
10.10.120.30.10.110.20,Spelt
10.10.120.30.20,Fiber crops
10.10.80.30.20,Cotton
10.10.120.30.20.20,Flax
10.10.120.30.20.30,Hemp
10.10.120.30.30,Fruits
10.10.120.30.30.10,Apples
10.10.120.30.30.20,Bananas
10.10.120.30.30.30,Berries
10.10.120.30.30.40,Blueberries
10.10.120.30.30.50,Cherries
10.10.120.30.30.60,Citrus
10.10.120.30.30.70,Figs
10.10.120.30.30.80,Grapes
10.10.120.30.30.90,Lemons
10.10.120.30.30.100,Melons
10.10.120.30.30.110,Olives
10.10.120.30.30.120,Oranges
10.10.120.30.30.130,Papayas
10.10.120.30.30.140,Peaches
10.10.120.30.30.150,Pears
10.10.120.30.30.160,Plums
10.10.120.30.30.170,Tomatoes
10.10.120.30.40,Soybean
10.10.120.30.50,Tobacco
10.10.120.30.60,Vegetables
10.10.120.30.60.10,Broccoli
10.10.120.30.60.20,Carrots
10.10.120.30.60.30,Cauliflower
10.10.120.30.60.40,Cucumber
10.10.120.30.60.50,Lettuce
10.10.120.30.60.60,Onions
10.10.120.30.60.70,Potato
10.10.120.30.60.80,Radish
10.10.120.30.60.90,Spinach
10.10.120.30.60.100,Sweet potato
10.10.80.30,Plant products
10.10.80.30.10,Biofuel feedstocks
10.10.80.30.20,Cotton
10.10.80.30.30,Straw
10.10.80.30.40,Timber
10.10.80.30.50,Vegetable oils
10.10.130,Farms
10.10.130.10,Orchards
10.10.140,Forestry
10.10.70.10,Agroforests
10.10.150,Fungiculture
10.10.160,Livestock
10.10.160.10,Cattle
10.10.160.10.10,Zebus
10.10.160.20,Poultry
10.10.160.20.10,Chickens
10.10.160.20.20,Turkeys
10.10.160.30,Sheep
10.10.160.40,Swine
10.10.170,Pest control
10.10.170.10,Integrated control
10.10.60.50,Pesticides
10.10.60.50.10,Larvicides
10.10.180,Pests
10.10.180.10,Insect pests
10.10.180.10.10,Locusts
10.10.180.10.20,Medfly
10.10.180.10.30,Olive fruit fly
10.10.180.10.40,Weevils
10.20,Anatomy
10.20.10,Abdomen
10.20.10.10,Peritoneum
10.20.10.10.10,Mesentery
10.20.20,Biological tissue
10.20.20.10,Adipose tissue
10.20.20.10.10,Brown adipose tissue
10.20.20.20,Connective tissue
10.20.20.20.10,Bone
10.20.20.20.10.10,Bone density
10.20.20.20.10.20,Bone matrix
10.20.20.20.10.30,Diaphyses
10.20.20.20.10.40,Epiphyses
10.20.20.20.10.50,Growth plate
10.20.20.20.10.60,Osteoclasts
10.20.20.20.10.70,Periosteum
10.20.20.20.20,Cartilage
10.20.20.20.20.10,Articular cartilage
10.20.20.20.20.20,Chondrocytes
10.20.20.20.20.30,Elastic cartilage
10.20.20.20.20.40,Fibrocartilage
10.20.20.20.20.50,Vertebrate cartilage
10.20.20.20.30,Connective tissue cells
10.20.20.20.30.10,Adipocytes
10.20.20.20.20.20,Chondrocytes
10.20.20.20.30.30,Fibroblasts
10.20.20.20.30.40,Mast cells
10.20.20.20.30.50,Odontoblasts
10.20.20.20.30.60,Odontoclasts
10.20.20.20.30.70,Osteoblasts
10.20.20.20.30.70.10,Osteocytes
10.20.20.20.10.60,Osteoclasts
10.20.20.20.30.90,Stromal cells
10.20.20.20.30.100,Theca cells
10.20.20.20.40,Granulation tissue
10.20.20.20.50,Ligaments
10.20.20.20.50.10,Periodontal ligament
10.20.20.20.60,Perichondrium
10.20.20.20.70,Tendons
10.20.20.30,Epithelium
10.20.20.30.10,Epithelial cells
10.20.20.30.10.10,Ameloblasts
10.20.20.30.10.20,Chief cells
10.20.20.30.10.30,Chromatophores
10.20.20.30.10.30.10,Melanocytes
10.20.20.30.10.30.20,Melanophores
10.20.20.30.10.40,Endothelial cells
10.20.20.30.10.50,Enterochromaffin cells
10.20.20.30.10.50.10,Argentaffin cells
10.20.20.30.10.50.20,G cells
10.20.20.30.10.60,Granulosa cells
10.20.20.30.10.70,Keratinocytes
10.20.20.30.10.70.10,Basal cells
10.20.20.30.10.70.20,Prickle cells
10.20.20.30.10.80,Labyrinth supporting cells
10.20.20.30.10.80.10,Claudius cells
10.20.20.30.10.80.20,Deiter's cells
10.20.20.30.10.80.30,Hensen cells
10.20.20.30.10.90,Merkel cells
10.20.20.30.10.100,Paneth cells
10.20.20.30.10.110,Parietal cells
10.20.20.30.10.120,Photocytes
10.20.20.30.10.130,Sertoli cells
10.20.20.30.20,Mucous membranes
10.20.20.40,Ganglia
10.20.20.50,Muscle tissue
10.20.20.50.10,Muscle cells
10.20.20.50.10.10,Myofibrils
10.20.20.50.10.10.10,Sarcomeres
10.20.20.50.10.20,Sarcolemmas
10.20.20.50.10.30,Smooth muscle cells
10.20.20.60,Necrotic tissue
10.20.20.70,Nerve tissue
10.20.20.80,Skin tissue
10.20.20.90,Soft tissues
10.20.20.100,Subcutaneous tissue
10.20.30,Body fluids
10.20.30.10,Amniotic fluid
10.20.30.20,Bile
10.20.30.20.10,Bilirubin
10.20.30.30,Blood
10.20.30.30.10,Alkali denaturation technique
10.20.30.30.20,Blood counts
10.20.30.30.20.10,Hematocrit
10.20.30.30.30,Blood flow
10.20.30.30.40,Blood groups
10.20.30.30.50,Blood plasma
10.20.30.30.60,Blood serum
10.20.30.30.60.10,Immune serum
10.20.30.30.60.20,Serum triglycerides
10.20.30.30.70,Blood sugar
10.20.30.30.80,Blood volume
10.20.30.30.90,Plasma volume
10.20.30.30.100,Platelets
10.20.30.40,Cerebrospinal fluid
10.20.30.50,Fluid physiology
10.20.30.60,Follicular fluid
10.20.30.70,Gastric mucosa
10.20.30.80,Interstitial fluid
10.20.30.90,Lymph
10.20.30.100,Milk
10.20.30.100.10,Breast milk
10.20.30.110,Mucus
10.20.30.110.10,Sputum
10.20.30.120,Nasal mucosa
10.20.30.130,Saliva
10.20.30.140,Semen
10.20.30.150,Sweat
10.20.30.160,Synovial fluid
10.20.30.170,Urine
10.20.20.20.10,Bone
10.20.20.20.10.10,Bone density
10.20.20.20.10.20,Bone matrix
10.20.20.20.10.30,Diaphyses
10.20.20.20.10.40,Epiphyses
10.20.20.20.10.50,Growth plate
10.20.20.20.10.60,Osteoclasts
10.20.20.20.10.70,Periosteum
10.20.50,Brain
10.20.50.10,Amygdala
10.20.50.20,Auditory cortex
10.20.50.30,Basal ganglia
10.20.50.30.10,Caudate nucleus
10.20.50.40,Brainstem
10.20.50.40.10,Medulla oblongata
10.20.50.40.20,Midbrain
10.20.50.50,Cerebellar cortex
10.20.50.60,Cerebral cortex
10.20.50.60.10,Cerebellar nuclei
10.20.50.60.20,Cerebellum
10.20.50.60.30,Entorhinal cortex
10.20.50.60.40,Frontal lobe
10.20.50.60.50,Occipital lobe
10.20.50.60.60,Parietal lobe
10.20.50.60.70,Temporal lobe
10.20.50.70,Cerebral hemispheres
10.20.50.70.10,Left hemisphere
10.20.50.70.20,Right hemisphere
10.20.50.80,Cerebrum
10.20.50.90,Choroid plexus
10.20.50.100,Cingulate cortex
10.20.50.110,Corpus callosum
10.20.50.120,Diencephalon
10.20.50.130,Fourth ventricle
10.20.50.140,Globus pallidus
10.20.50.150,Hindbrain
10.20.50.160,Hippocampal formation
10.20.50.160.10,Dentate gyrus
10.20.50.170,Hippocampus
10.20.50.180,Hypothalamus
10.20.50.180.10,Arcuate nucleus
10.20.50.190,Inferior colliculus
10.20.50.200,Limbic system
10.20.50.210,Locus coeruleus
10.20.50.220,Motor cortex
10.20.50.230,Neocortex
10.20.50.240,Neostriatum
10.20.50.250,Nucleus accumbens
10.20.50.260,Olfactory bulb
10.20.50.270,Piriform cortex
10.20.50.280,Prefrontal cortex
10.20.50.290,Preoptic area
10.20.50.300,Red nucleus
10.20.50.310,Somatosensory cortex
10.20.50.320,Substantia nigra
10.20.50.330,Superior colliculus
10.20.50.340,Suprachiasmatic nucleus
10.20.50.350,Thalamus
10.20.50.350.10,Thalamic nuclei
10.20.50.360,Ventral tegmental area
10.20.50.370,Visual cortex
10.20.60,Cardiovascular anatomy
10.20.60.10,Blood vessels
10.20.60.10.10,Aorta
10.20.60.10.20,Aortic bifurcation
10.20.60.10.30,Arteries
10.20.60.10.30.10,Arterial bifurcations
10.20.60.10.30.20,Carotid arteries
10.20.60.10.30.30,Carotid body
10.20.60.10.30.40,Cerebral arteries
10.20.60.10.30.50,Common carotid arteries
10.20.60.10.30.60,Coronary arteries
10.20.60.10.30.70,Femoral arteries
10.20.60.10.30.80,Mesenteric arteries
10.20.60.10.30.90,Pulmonary arteries
10.20.60.10.30.100,Renal arteries
10.20.60.10.40,Arterioles
10.20.60.10.50,Capillaries
10.20.60.10.60,Retinal vessels
10.20.60.10.70,Veins
10.20.60.10.70.10,Inferior vena cava
10.20.60.10.70.20,Jugular vein
10.20.60.10.70.30,Portal veins
10.20.60.10.70.40,Umbilical veins
10.20.60.10.80,Venules
10.20.60.20,Endothelium
10.20.60.30,Heart
10.20.60.30.10,Aortic valve
10.20.60.30.20,Endocardium
10.20.60.30.30,Epicardium
10.20.60.30.40,Myocardium
10.20.60.30.50,Pericardium
10.20.60.30.60,Ventricles (heart)
10.20.70,Comparative anatomy
10.20.80,Digestive system
10.20.80.10,Gastrointestinal tract
10.20.80.10.10,Anus
10.20.80.10.20,Cardia
10.20.80.10.30,Cecum
10.20.80.10.40,Colon
10.20.80.10.50,Duodenum
10.20.80.10.60,Esophagus
10.20.30.70,Gastric mucosa
10.20.80.10.80,Ileum
10.20.80.10.90,Jejunum
10.20.80.10.100,Large intestine
10.20.80.10.110,Rectum
10.20.80.10.120,Small intestine
10.20.80.10.130,Stomach
10.20.80.20,Mouth
10.20.80.20.10,Lips
10.20.80.20.20,Mandible
10.20.80.20.30,Palate
10.20.80.20.40,Tongue
10.20.80.30,Pharynx
10.20.80.30.10,Nasopharynx
10.20.80.30.20,Oropharynx
10.20.80.40,Salivary glands
10.20.80.40.10,Parotid glands
10.20.80.40.20,Sublingual glands
10.20.80.40.30,Submandibular glands
10.20.80.50,Teeth
10.20.80.50.10,Dental pulp
10.20.80.50.20,Dentin
10.20.80.50.30,Incisors
10.20.80.50.40,Molars
10.20.90,Endocrine system
10.20.90.10,Adrenal cortex
10.20.90.20,Adrenal glands
10.20.90.30,Endocrine cells
10.20.90.40,Endocrine subsystems
10.20.90.50,Pancreas
10.20.90.50.10,Pancreatic ducts
10.20.90.60,Parathyroid
10.20.90.70,Pineal gland
10.20.90.80,Pituitary gland
10.20.90.90,Thyroid
10.20.100,Exocrine glands
10.20.100.10,Mammary glands
10.20.90.50,Pancreas
10.20.90.50.10,Pancreatic ducts
10.20.100.30,Prostate gland
10.20.80.40,Salivary glands
10.20.80.40.10,Parotid glands
10.20.80.40.20,Sublingual glands
10.20.80.40.30,Submandibular glands
10.20.100.50,Sweat glands
10.20.110,Head
10.20.110.10,Ears
10.20.110.10.10,Inner ear
10.20.110.10.10.10,Cochlea
10.20.110.10.10.10.10,Cochlear ducts
10.20.110.10.10.20,Otolith
10.20.110.10.10.30,Saccules
10.20.110.10.20,Middle ear
10.20.110.10.30,Organ of Corti
10.20.110.10.40,Semicircular canals
10.20.110.20,Eyes
10.20.110.20.10,Eye color
10.20.110.30,Face
10.20.110.30.10,Cheeks
10.20.110.30.20,Chin
10.20.110.30.30,Forehead
10.20.80.20.10,Lips
10.20.110.30.50,Nose
10.20.110.40,Jaw
10.20.80.50,Teeth
10.20.80.50.10,Dental pulp
10.20.80.50.20,Dentin
10.20.80.50.30,Incisors
10.20.80.50.40,Molars
10.20.110.50,Scalp
10.20.120,Histology
10.20.120.10,Histological examination
10.20.130,Integumentary system
10.20.130.10,Hair
10.20.130.10.10,Hair follicles
10.20.130.20,Nails
10.20.130.30,Skin
10.20.130.30.10,Dermis
10.20.130.30.20,Epidermis
10.20.130.30.30,Eyelids
10.20.130.10.10,Hair follicles
10.20.130.30.50,Hypodermis
10.20.130.30.60,Sebaceous glands
10.20.130.30.70,Skin anatomy
10.20.130.30.80,Skin physiology
10.20.100.50,Sweat glands
10.20.140,Liver
10.20.140.10,Biliary system
10.20.140.10.10,Bile ducts
10.20.140.10.20,Gallbladder
10.20.140.20,Hepatocytes
10.20.150,Lymphatic system
10.20.150.10,Lymph nodes
10.20.150.20,Lymphoid follicles
10.20.150.30,Lymphoid organs
10.20.150.40,Lymphoid tissue
10.20.150.50,Peyer's patches
10.20.160,Musculoskeletal system
10.20.160.10,Joints (anatomy)
10.20.160.10.10,Ankle joints
10.20.160.10.20,Knee joints
10.20.160.10.30,Knuckles
10.20.160.20,Limbs (anatomy)
10.20.160.20.10,Arms
10.20.160.20.10.10,Elbow
10.20.160.20.10.20,Forearms
10.20.160.20.10.30,Hands
10.20.160.20.10.30.10,Fingers
10.20.160.10.30,Knuckles
10.20.160.20.10.30.30,Thumbs
10.20.160.20.10.40,Wrist
10.20.160.20.20,Legs
10.20.160.20.20.10,Ankles
10.20.160.20.20.20,Feet (anatomy)
10.20.160.20.20.20.10,Toes
10.20.160.20.20.30,Knees
10.20.160.30,Muscles
10.20.160.30.10,Abdominal muscles
10.20.160.30.20,Cardiac muscles
10.20.160.30.30,Gastrocnemius muscles
10.20.160.30.40,Muscle components
10.20.160.30.50,Muscle fibers
10.20.160.30.50.10,Cardiac muscle fibers
10.20.160.30.50.20,Skeletal muscle fibers
10.20.160.30.50.20.10,Fast-twitch muscle fibers
10.20.160.30.50.20.20,Slow-twitch muscle fibers
10.20.160.30.60,Papillary muscles
10.20.160.30.70,Pharyngeal muscles
10.20.160.30.80,Skeletal muscles
10.20.160.30.90,Smooth muscles
10.20.160.30.100,Soleus muscles
10.20.160.30.110,Triceps
10.20.160.40,Pelvis
10.20.160.40.10,Hip
10.20.160.40.20,Ilium
10.20.160.40.30,Ischium
10.20.160.40.40,Pubis
10.20.160.50,Shoulders
10.20.160.60,Skeleton
10.20.160.60.10,Femur
10.20.160.60.20,Fibula
10.20.160.60.30,Frontal bones
10.20.160.60.40,Humerus
10.20.160.60.50,Maxilla
10.20.160.60.60,Phalanges
10.20.160.60.70,Ribs
10.20.160.60.80,Skull
10.20.160.60.80.10,Alveolar bone
10.20.160.60.80.20,Cranial sutures
10.20.160.60.80.30,Cranium
10.20.160.60.80.40,Mastoid process
10.20.160.60.90,Sternum
10.20.160.60.100,Tibia
10.20.160.70,Spine
10.20.160.70.10,Cervical vertebrae
10.20.160.70.20,Lumbar vertebrae
10.20.160.70.30,Vertebrae
10.20.160.80,Symphyses
10.20.170,Neck
10.20.170.10,Throat
10.20.170.10.10,Larynx
10.20.170.10.20,Tonsils
10.20.180,Nervous system
10.20.180.10,Autonomic nervous system
10.20.180.20,Central nervous system
10.20.180.20.10,Blood-brain barrier
10.20.180.20.20,Meninges
10.20.30.40,Cerebrospinal fluid
10.20.180.40,Motor system
10.20.180.50,Nerves
10.20.180.50.10,Auditory nerves
10.20.180.50.20,Cranial nerves
10.20.180.50.20.10,Facial nerve
10.20.180.50.30,Nerve endings
10.20.180.50.40,Sciatic nerves
10.20.180.50.50,Spinal nerves
10.20.20.70,Nerve tissue
10.20.180.70,Neuroanatomy
10.20.180.70.10,Connectomics
10.20.180.70.20,Neural pathways
10.20.180.70.30,Neurovasculature
10.20.90.80,Pituitary gland
10.20.180.70.50,Spinal cord
10.20.180.80,Peripheral nervous system
10.20.180.90,Sympathetic nervous system
10.20.180.100,Synapses
10.20.180.100.10,Electrical synapses
10.20.180.100.20,Gap junctions
10.20.180.100.30,Neuromuscular junctions
10.20.180.100.40,Post-synaptic membranes
10.20.180.100.50,Pre-synaptic membranes
10.20.180.100.60,Synaptic vesicles
10.20.180.100.70,Synaptosomes
10.20.190,Ocular system
10.20.110.20,Eyes
10.20.110.20.10,Eye color
10.20.190.20,Intraocular pressure
10.20.190.30,Ocular anatomy
10.20.190.30.10,Choroid
10.20.190.30.20,Cornea
10.20.190.30.30,Corneal epithelium
10.20.190.30.40,Eye muscles
10.20.190.30.50,Fovea centralis
10.20.190.30.60,Iris
10.20.190.30.70,Lens (anatomy)
10.20.190.30.80,Pupil
10.20.190.30.90,Retina
10.20.60.10.60,Retinal vessels
10.20.190.30.110,Trabecular meshwork
10.20.190.40,Optic nerve
10.20.190.50,Optic tract
10.20.200,Olfactory organs
10.20.210,Renal system
10.20.210.10,Bladder
10.20.210.20,Kidneys
10.20.210.20.10,Glomeruli
10.20.210.20.20,Nephrons
10.20.210.30,Renal anatomy
10.20.210.40,Ureter
10.20.210.50,Urothelium
10.20.220,Reproductive system
10.20.220.10,Asexual reproduction
10.20.220.20,Breast tissue
10.20.100.10,Mammary glands
10.20.220.30,Cotyledons (anatomy)
10.20.220.40,Fallopian tubes
10.20.220.50,Genital anatomy
10.20.220.50.10,Cervix
10.20.220.50.20,Clitoris
10.20.220.50.30,Epididymis
10.20.220.50.40,Gonads
10.20.220.50.50,Penis
10.20.220.50.60,Seminiferous tubules
10.20.220.50.70,Testes
10.20.220.50.80,Vagina
10.20.220.50.90,Vulva
10.20.220.60,Ovaries
10.20.30.60,Follicular fluid
10.20.220.60.20,Ovarian follicles
10.20.220.70,Placenta
10.20.220.70.10,Placentation
10.20.220.80,Seminal vesicles
10.20.220.90,Sporulation
10.20.220.100,Uterus
10.20.220.100.10,Decidua
10.20.220.100.20,Endometrium
10.20.220.100.30,Myometrium
10.20.230,Respiratory system
10.20.230.10,Alveoli
10.20.230.10.10,Pneumocytes
10.20.230.20,Bronchi
10.20.230.30,Bronchioles
10.20.230.40,Gills
10.20.230.50,Lungs
10.20.230.60,Nasal cavity
10.20.230.70,Nasal concha
10.20.30.120,Nasal mucosa
10.20.230.90,Nasal passages
10.20.80.30,Pharynx
10.20.80.30.10,Nasopharynx
10.20.80.30.20,Oropharynx
10.20.230.110,Spiracles
10.20.230.120,Thoracic diaphragm
10.20.230.130,Trachea
10.20.240,Sense organs
10.20.250,Thorax
10.20.250.10,Pleura
10.20.250.20,Pleural cavity
10.30,Astrobiology
10.30.10,Extraterrestrial life
10.40,Bioacoustics
10.50,Biochemistry
10.50.10,Antioxidants
10.50.20,Biocatalysis
10.50.30,Biochemical activity
10.50.40,Biochemical reactivation
10.50.50,Biochemical simulations
10.50.60,Bioelectromagnetism
10.50.70,Bioenergetics
10.50.70.10,Electron transport chain
10.50.70.20,Energy-producing organelles
10.50.70.20.10,Mitochondria
10.50.70.20.10.10,Mitochondrial membrane
10.50.70.30,Ionic current
10.50.80,Bioinorganic chemistry
10.50.90,Biomacromolecule-ligand interactions
10.50.100,Biomarkers
10.50.100.10,Creatinine
10.50.110,Biosynthesis
10.50.110.10,Carbohydrate biosynthesis
10.50.120,Blood chemistry
10.50.130,Chemical biology
10.50.140,Chondroitin
10.50.150,Circadian oscillators
10.50.160,Cytochemistry
10.50.160.10,Histochemistry
10.50.160.20,Immunocytochemistry
10.50.170,DNA
10.50.170.10,Ancient DNA
10.50.170.20,DNA amplification
10.50.170.30,DNA cleavage
10.50.170.40,DNA damage
10.50.170.50,DNA electrophoresis
10.50.170.60,DNA fragmentation
10.50.170.70,DNA libraries
10.50.170.70.10,cDNA libraries
10.50.170.70.20,Fosmid library
10.50.170.80,DNA metabolism
10.50.170.90,DNA modification
10.50.170.90.10,DNA methylation
10.50.170.100,DNA recombination
10.50.170.100.10,Gene conversion
10.50.170.100.20,Homologous recombination
10.50.170.100.30,Illegitimate recombination
10.50.170.100.40,Transformation associated recombination
10.50.170.110,DNA repair
10.50.170.110.10,Base excision repair
10.50.170.110.20,Microhomology-mediated end joining
10.50.170.110.30,Mismatch repair
10.50.170.110.40,Non-homologous end joining
10.50.170.110.50,Nucleotide excision repair
10.50.170.110.50.10,Transcription-coupled repair
10.50.170.120,DNA replication
10.50.320.610.60,Homeobox
10.50.170.170.10,TATA box
10.50.170.130,DNA structure
10.50.170.130.10,DNA clamps
10.50.170.130.10.10,Beta clamps
10.50.170.130.10.20,PCNA clamps
10.50.170.130.20,DNA Sierpinski triangles
10.50.170.130.30,Sense strands
10.50.170.140,DNA synthesis
10.50.170.150,Forms of DNA
10.50.170.150.10,Chromosomal DNA
10.50.170.150.20,Circular DNA
10.50.170.150.30,Complementary DNA
10.50.170.70.10,cDNA libraries
10.50.170.150.30.20,Expressed sequence tags
10.110.60.180,Kinetoplasts
10.50.170.150.40,Mitochondrial DNA
10.50.170.150.50,Plasmids
10.50.170.150.60,Satellite DNA
10.50.170.160,Operons
10.50.170.160.10,lac operon
10.50.170.160.20,rRNA operons
10.50.170.160.30,trp operon
10.50.170.170,Promoter regions
10.50.180,Enzymology
10.50.180.10,Enzyme chemistry
10.50.180.10.10,Cofactors (biochemistry)
10.50.180.10.10.10,Coenzymes
10.50.180.10.10.20,Prosthetic groups
10.50.180.10.20,Enzyme metabolism
10.50.180.10.30,Enzyme regulation
10.50.180.10.30.10,Allosteric regulation
10.50.180.20,Enzyme inhibitors
10.50.180.20.10,ACE inhibitors
10.50.180.20.20,Aromatase inhibitors
10.50.180.20.30,Cholinesterase inhibitors
10.50.180.20.40,Competitive inhibitors
10.50.180.20.50,Irreversible inhibitors
10.50.180.20.60,Kinase inhibitors
10.50.180.20.60.10,Tyrosine kinase inhibitors
10.50.180.20.70,Neuraminidase inhibitors
10.50.180.20.80,Noncompetitive inhibitors
10.50.180.20.90,Phosphatase inhibitors
10.50.180.20.100,Protease inhibitors
10.50.180.20.100.10,Calpain inhibitors
10.50.180.20.100.20,Caspase inhibitors
10.50.180.20.100.30,Cysteine protease inhibitors
10.50.180.20.100.40,Serine protease inhibitors
10.50.180.20.100.50,Trypsin inhibitors
10.50.180.20.110,Proteinase inhibitors
10.50.180.20.120,Reversible inhibitors
10.50.180.20.130,RNase inhibitors
10.50.180.20.140,Uncompetitive inhibitors
10.50.180.30,Enzyme kinetics
10.50.180.40,Enzyme precursors
10.50.180.40.10,Zymogens
10.50.180.50,Enzymes
10.50.180.50.10,Carbonic anhydrases
10.50.180.50.20,Catalases
10.50.180.50.30,Cellulases
10.50.180.50.40,Chymotrypsin
10.50.180.50.50,Digestive enzymes
10.50.180.50.60,Dismutases
10.50.180.50.60.10,Superoxide dismutase
10.50.180.50.70,Hexokinases
10.50.180.50.80,Hydrolases
10.50.180.50.80.10,Collagenases
10.50.180.50.80.20,Esterases
10.50.180.50.80.30,Glucanases
10.50.180.50.80.40,Glycoside hydrolases
10.50.180.50.80.50,Nucleases
10.50.180.50.80.50.10,Deoxyribonucleases
10.50.180.50.80.50.20,Ribonucleases
10.50.180.50.80.60,Pepsins
10.50.180.50.90,Isomerases
10.50.180.50.90.10,Mucolytic enzymes
10.50.180.50.100,Isozymes
10.50.180.50.110,Laccases
10.50.180.50.120,Ligases
10.50.180.50.130,Lyases
10.50.180.50.130.10,Adenylyl cyclase
10.50.180.50.130.20,Ketoacid lyases
10.50.180.50.140,Oxidoreductases
10.50.180.50.140.10,Dehydrogenases
10.50.180.50.140.20,Luciferase
10.50.180.50.80.60,Pepsins
10.50.180.50.160,Peroxidases
10.50.180.50.160.10,Horseradish peroxidase
10.50.180.50.170,Phosphatases
10.50.180.50.170.10,Acid phosphatase
10.50.180.50.180,Phosphodiesterases
10.50.180.50.190,Plasmins
10.50.180.50.200,Proteases
10.50.180.50.200.10,Aspartate proteases
10.50.180.50.200.20,Cysteine proteases
10.50.180.50.200.30,Glutamic acid proteases
10.50.180.50.200.40,Metalloproteases
10.50.180.50.200.50,Serine proteases
10.50.180.50.200.60,Threonine proteases
10.50.180.50.210,Ribozymes
10.50.180.50.210.10,Hammerhead ribozymes
10.50.180.50.220,Saccharidases
10.50.180.50.230,Transferases
10.50.180.50.230.10,Aminotransferases
10.50.180.50.230.20,Dextransucrase
10.50.180.50.230.30,Glycosyltransferases
10.50.180.50.230.40,Phosphorylases
10.50.180.50.240,Ureases
10.50.180.60,Enzyme structure
10.50.190,Glycobiology
10.50.190.10,Glycogens
10.50.190.20,Glycolipids
10.50.190.30,Glycoproteins
10.50.190.30.10,E2 glycoproteins
10.50.190.30.20,Fibrinogen
10.50.190.30.30,N-linked glycoproteins
10.50.190.30.40,O-linked glycoproteins
10.50.190.30.50,P-glycoproteins
10.50.190.30.60,Virus glycoproteins
10.50.190.40,Glycosylamines
10.50.190.40.10,Nucleosides
10.50.190.40.10.10,Adenosine
10.50.190.40.10.20,Guanosine
10.50.190.40.10.30,Inosine
10.50.190.50,Glycosylation
10.50.190.60,Polysaccharides
10.50.190.60.10,Glucans
10.50.190.60.10.10,Dextran
10.50.190.60.20,Heteropolysaccharides
10.50.190.60.20.10,Pectins
10.50.190.70,Proteoglycans
10.50.200,Hormones
10.50.200.10,Androgens
10.50.200.10.10,Testosterone
10.50.200.20,Calcitonin
10.50.200.30,Catecholamines
10.50.200.30.10,Dopamine
10.50.200.30.20,Epinephrine
10.50.200.30.30,Norepinephrine
10.50.200.40,Estrogens
10.50.200.50,Glucagon
10.50.200.60,Gonadotropins
10.50.200.70,Insulin
10.50.200.80,Lipid hormones
10.50.200.80.10,Aldosterone
10.50.200.80.20,Calcitriol
